IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;CIRCUITOS ELECTRICOS;COMPUTACION I;COMPUTACION II;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;CALCULO VI;DISENO ASISTIDO POR COMPUTADORA I;DISENO ASISTIDO POR COMPUTADORA II;DISENO TECNICO;ESTRUCTURAS I;ESTRUCTURAS II;ESTRUCTURAS III;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;GEOTECNIA I;GEOTECNIA II;HIDRAULICA I;HIDRAULICA II;HORMIGON ARMADO I;IDIOMAS  I;INGLES I;INGLES II;INGLES III;LABORATORIO DE IDIOMAS I;MATERIALES DE OBRAS CIVILES;MECANICA DE MATERIALES I;MECANICA DE MATERIALES II;MECANICA VECTORIAL I;MECANICA VECTORIAL II;METODOLOGIA DE LA INVESTIGACION I;METODOLOGIA DE LA INVESTIGACION II;PROBABILIDAD Y ESTADISTICA;QUIMICA;TECNOLOGIA DEL HORMIGON;TOPOGRAFIA;VIAS DE COMUNICACION I;VIAS DE COMUNICACION II;ALGEBRA LINEAL I;ALGEBRA LINEAL II;ETICA PROFESIONAL
5834;4.0;1;0.0;6;17;2;6.0;2.912280701754386;4.0;4.0;4.0;3.0;2.0;3.0;4.0;2.0;4.0;5.0;4.0;4.0;5.0;2.0;2.0;1.0;4.0;3.0;4.0;5.0;4.0;4.0;3.0;4.0;3.0;3.0;2.0;3.0;3.0;2.0;3.0;4.0;2.0;2.0;0.0;3.0;3.0;3.0;3.0;0.0;2.0;2.0;3.0;2.0;2.0;5.0;4.0;2.0;3.0;3.0;2.0;3.0;0.0;2.0;3.0;0.0
5835;3.0;1;0.0;0;1;0;1.0;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5871;3.0;2;0.0;1;0;0;1.0;2.8333333333333335;4.0;3.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5872;4.0;1;0.0;3;4;1;1.0;3.980769230769231;5.0;4.0;5.0;3.0;4.0;3.0;2.0;4.0;3.0;5.0;4.0;4.0;5.0;2.0;4.0;3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;4.0;5.0;5.0;4.0;4.0;0.0;0.0;4.0;2.0;0.0;4.0;4.0;4.0;5.0;4.0;4.0;0.0;0.0;4.0;5.0;5.0;4.0;4.0;4.0;3.0;4.0;4.0;5.0;3.0;2.0;4.0
5877;3.0;2;0.0;1;2;1;2.0;3.75;4.0;4.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;5.0;0.0;0.0;0.0;5.0;4.0;5.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
5878;2.0;1;0.0;5;2;0;0.0;3.75;5.0;4.0;4.0;3.0;2.0;2.0;4.0;3.0;5.0;5.0;4.0;4.0;5.0;2.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;2.0;4.0;5.0;5.0;4.0;5.0;4.0;3.0;4.0;2.0;2.0;3.0;4.0;2.0;4.0;3.0;5.0;3.0;2.0;3.0;3.0;2.0;5.0;5.0;2.0;4.0;3.0;4.0;3.0;4.0;3.0;3.0;5.0
5881;2.0;1;0.0;5;2;0;4.0;3.566666666666667;4.0;5.0;5.0;3.0;3.0;4.0;3.0;2.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;3.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;3.0;5.0;4.0;4.0;5.0;3.0;4.0;3.0;2.0;2.0;2.0;3.0;4.0;3.0;3.0;3.0;5.0;3.0;2.0;2.0;4.0;3.0;5.0;5.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;5.0;4.0
5882;2.0;1;0.0;6;24;2;7.0;2.84375;4.0;4.0;2.0;3.0;2.0;2.0;2.0;3.0;4.0;5.0;4.0;3.0;5.0;2.0;2.0;2.0;3.0;3.0;4.0;4.0;5.0;5.0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;4.0;4.0;2.0;5.0;4.0;3.0;4.0;2.0;3.0;3.0;2.0;4.0;2.0;2.0;5.0;4.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0
5887;4.0;1;0.0;5;7;0;10.0;2.63265306122449;4.0;3.0;4.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;3.0;3.0;5.0;0.0;0.0;0.0;4.0;4.0;4.0;5.0;5.0;5.0;3.0;2.0;2.0;3.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;3.0;3.0;3.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0
5890;2.0;2;0.0;7;7;1;11.0;3.0597014925373136;3.0;4.0;4.0;3.0;2.0;2.0;3.0;3.0;4.0;2.0;4.0;4.0;5.0;3.0;2.0;3.0;4.0;5.0;4.0;4.0;5.0;5.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;2.0;3.0;4.0;3.0;3.0;4.0;5.0;4.0;3.0;4.0;5.0;2.0;2.0;2.0;4.0;5.0;5.0;3.0;5.0;3.0;2.0;4.0;2.0;2.0;3.0;4.0
