IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;BASES DE DATOS I;BASES DE DATOS II;COMPUTACION I;COMPUTACION II;COMPUTACION III;CONTABILIDAD I;CALCULO I;CALCULO II;CALCULO III;DERECHO INTELECTUAL Y LABORAL;DISENO DE SISTEMA INFORMATICO I;DISENO TECNICO;ELECTRONICA I;EMPRENDEDORISMO;ESTRUCTURA DE DATOS I;ESTRUCTURAS DE LOS LENGUAJES;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;GEOMETRIA ANALITICA Y VECTORIAL;IDIOMAS I;INFORMATICA I;INGENIERIA DE SOFTWARE I;INGLES II;INGLES III;INGLES I;INVESTIGACION DE OPERACIONES I;LABORATORIO DE IDIOMAS I;LABORATORIO I;LENGUAJE DE PROGRAMACION  I;LENGUAJE DE PROGRAMACION II;LENGUAJE DE PROGRAMACION IV;LENGUAJES DE PROGRAMACION III;MATEMATICA APLICADA;METODOLOGIA DE LA INVESTIGACION I;METODOS NUMERICOS;PROBABILIDADES Y ESTADISTICAS;QUIMICA;REDES DE COMPUTADORAS I;REDES DE COMPUTADORAS II;SISTEMAS OPERATIVOS I;SISTEMAS OPERATIVOS II;TALLER DE HARDWARE I;TALLER DE HARDWARE II;ALGEBRA I;ALGEBRA II;ETICA PROFESIONAL
5333.0;3.0;1.0;0.0;2.0;1.0;0.0;4.0;2.8846153846153846;4.0;0.0;0.0;2.0;3.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;3.0;2.0;4.0;3.0;0.0;3.0;3.0;3.0;2.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;0.0
5364.0;4.0;1.0;0.0;5.0;12.0;1.0;5.0;3.0576923076923075;3.0;2.0;3.0;3.0;2.0;3.0;4.0;2.0;2.0;0.0;4.0;3.0;3.0;2.0;4.0;4.0;2.0;5.0;5.0;4.0;5.0;5.0;5.0;3.0;3.0;0.0;2.0;1.0;3.0;2.0;3.0;5.0;5.0;4.0;0.0;4.0;4.0;3.0;2.0;0.0;0.0;2.0;2.0;0.0;3.0;4.0;2.0;2.0;3.0;4.0;5.0;5.0;2.0;0.0;2.0
5365.0;2.0;1.0;0.0;3.0;2.0;3.0;0.0;4.181818181818182;5.0;3.0;4.0;5.0;5.0;5.0;5.0;4.0;3.0;2.0;5.0;4.0;3.0;3.0;4.0;4.0;5.0;2.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;5.0;4.0;5.0;4.0;3.0;3.0;5.0;4.0;4.0;5.0;2.0;4.0;5.0;5.0;5.0;4.0;5.0;3.0
5366.0;4.0;2.0;0.0;8.0;5.0;1.0;10.0;2.8461538461538463;3.0;2.0;2.0;2.0;3.0;2.0;5.0;2.0;2.0;2.0;5.0;3.0;2.0;2.0;4.0;4.0;3.0;3.0;5.0;4.0;5.0;5.0;5.0;4.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;5.0;5.0;3.0;2.0;2.0;4.0;2.0;3.0;4.0;3.0;2.0;2.0;3.0;3.0;4.0;3.0;2.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0
5367.0;3.0;1.0;0.0;3.0;5.0;0.0;14.0;2.611111111111111;3.0;3.0;0.0;3.0;2.0;2.0;5.0;3.0;1.0;0.0;5.0;3.0;2.0;0.0;3.0;4.0;0.0;2.0;5.0;4.0;3.0;5.0;5.0;4.0;3.0;2.0;2.0;2.0;3.0;2.0;0.0;5.0;5.0;4.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;4.0;3.0;1.0;2.0;4.0;3.0;3.0;3.0;2.0;2.0
5368.0;3.0;1.0;0.0;3.0;11.0;1.0;7.0;3.1041666666666665;5.0;2.0;0.0;4.0;3.0;2.0;4.0;0.0;2.0;0.0;5.0;2.0;3.0;3.0;4.0;3.0;0.0;5.0;5.0;5.0;4.0;5.0;5.0;4.0;3.0;2.0;2.0;0.0;4.0;4.0;0.0;5.0;5.0;4.0;0.0;3.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;3.0;2.0;0.0;3.0;4.0;4.0;4.0;3.0;0.0;2.0
5369.0;4.0;2.0;0.0;8.0;12.0;1.0;20.0;2.4054054054054053;3.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;4.0;3.0;2.0;2.0;3.0;4.0;2.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;5.0;5.0;3.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;0.0;2.0;3.0;2.0;2.0;3.0;4.0;4.0;4.0;3.0;4.0;2.0
5371.0;2.0;2.0;0.0;3.0;1.0;5.0;0.0;4.072727272727272;5.0;3.0;4.0;4.0;3.0;3.0;5.0;4.0;5.0;2.0;5.0;5.0;2.0;2.0;4.0;4.0;5.0;3.0;5.0;4.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;4.0;4.0;3.0;5.0;4.0;3.0;4.0;5.0;5.0;3.0;5.0;2.0;5.0;4.0;5.0;5.0;4.0;5.0;3.0
5372.0;2.0;2.0;0.0;5.0;9.0;2.0;8.0;3.126984126984127;3.0;2.0;4.0;3.0;3.0;2.0;5.0;3.0;2.0;3.0;5.0;2.0;4.0;2.0;4.0;4.0;3.0;4.0;5.0;4.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0;2.0;5.0;2.0;3.0;5.0;5.0;5.0;3.0;4.0;3.0;3.0;3.0;4.0;3.0;2.0;3.0;2.0;4.0;3.0;4.0;2.0;4.0;4.0;4.0;4.0;3.0;4.0;3.0
5373.0;3.0;1.0;0.0;3.0;6.0;0.0;1.0;3.128205128205128;4.0;2.0;0.0;3.0;3.0;0.0;4.0;0.0;0.0;0.0;5.0;4.0;4.0;0.0;3.0;3.0;0.0;2.0;5.0;3.0;3.0;5.0;5.0;2.0;3.0;0.0;0.0;2.0;3.0;2.0;0.0;4.0;5.0;5.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;3.0;3.0;1.0;3.0;4.0;4.0;4.0;2.0;2.0;2.0
